,상품코드,상세 페이지 url,이미지 url,가격
64,1574942933,http://item.gmarket.co.kr/Item?goodscode=1574942933&ver=638156349278809785,https://gdimg.gmarket.co.kr/1574942933/still/300?ver=2023032821,"24,900원"
65,1296906433,http://item.gmarket.co.kr/Item?goodscode=1296906433&ver=638156349278809785,https://gdimg.gmarket.co.kr/1296906433/still/300?ver=2023032821,"14,800원"
66,2809632117,http://item.gmarket.co.kr/Item?goodscode=2809632117&ver=638156349278809785,https://gdimg.gmarket.co.kr/2809632117/still/300?ver=2023032821,"36,900원"
67,1579104167,http://item.gmarket.co.kr/Item?goodscode=1579104167&ver=638156349278809785,https://gdimg.gmarket.co.kr/1579104167/still/300?ver=2023032821,"21,900원"
68,2522267922,http://item.gmarket.co.kr/Item?goodscode=2522267922&ver=638156349278809785,https://gdimg.gmarket.co.kr/2522267922/still/300?ver=2023032821,"44,900원"
69,2298519245,http://item.gmarket.co.kr/Item?goodscode=2298519245&ver=638156349278809785,https://gdimg.gmarket.co.kr/2298519245/still/300?ver=2023032821,"27,900원"
70,2762355924,http://item.gmarket.co.kr/Item?goodscode=2762355924&ver=638156349278809785,https://gdimg.gmarket.co.kr/2762355924/still/300?ver=2023032821,"21,500원"
71,1655243018,http://item.gmarket.co.kr/Item?goodscode=1655243018&ver=638156349278809785,https://gdimg.gmarket.co.kr/1655243018/still/300?ver=2023032821,"190,000원"
72,2316892877,http://item.gmarket.co.kr/Item?goodscode=2316892877&ver=638156349278809785,https://gdimg.gmarket.co.kr/2316892877/still/300?ver=2023032821,"25,920원"
73,1926412773,http://item.gmarket.co.kr/Item?goodscode=1926412773&ver=638156349278809785,https://gdimg.gmarket.co.kr/1926412773/still/300?ver=2023032821,"29,400원"
74,1654805524,http://item.gmarket.co.kr/Item?goodscode=1654805524&ver=638156349278809785,https://gdimg.gmarket.co.kr/1654805524/still/300?ver=2023032821,"9,500원"
75,2722597474,http://item.gmarket.co.kr/Item?goodscode=2722597474&ver=638156349278809785,https://gdimg.gmarket.co.kr/2722597474/still/300?ver=2023032821,"8,900원"
76,2006102802,http://item.gmarket.co.kr/Item?goodscode=2006102802&ver=638156349278809785,https://gdimg.gmarket.co.kr/2006102802/still/300?ver=2023032821,"9,900원"
77,1554561741,http://item.gmarket.co.kr/Item?goodscode=1554561741&ver=638156349278809785,https://gdimg.gmarket.co.kr/1554561741/still/300?ver=2023032821,"19,900원"
78,1655241628,http://item.gmarket.co.kr/Item?goodscode=1655241628&ver=638156349278809785,https://gdimg.gmarket.co.kr/1655241628/still/300?ver=2023032821,"28,500원"
79,2219385779,http://item.gmarket.co.kr/Item?goodscode=2219385779&ver=638156349278809785,https://gdimg.gmarket.co.kr/2219385779/still/300?ver=2023032821,"20,280원"
80,2490031978,http://item.gmarket.co.kr/Item?goodscode=2490031978&ver=638156349278809785,https://gdimg.gmarket.co.kr/2490031978/still/300?ver=2023032821,"23,600원"
81,2763765853,http://item.gmarket.co.kr/Item?goodscode=2763765853&ver=638156349278809785,https://gdimg.gmarket.co.kr/2763765853/still/300?ver=2023032821,"7,900원"
82,1837763848,http://item.gmarket.co.kr/Item?goodscode=1837763848&ver=638156349278809785,https://gdimg.gmarket.co.kr/1837763848/still/300?ver=2023032821,"18,320원"
83,1598649660,http://item.gmarket.co.kr/Item?goodscode=1598649660&ver=638156349278809785,https://gdimg.gmarket.co.kr/1598649660/still/300?ver=2023032821,"29,900원"
84,2500848672,http://item.gmarket.co.kr/Item?goodscode=2500848672&ver=638156349278809785,https://gdimg.gmarket.co.kr/2500848672/still/300?ver=2023032821,"10,000원"
85,2805355151,http://item.gmarket.co.kr/Item?goodscode=2805355151&ver=638156349278809785,https://gdimg.gmarket.co.kr/2805355151/still/300?ver=2023032821,"24,000원"
86,2595261633,http://item.gmarket.co.kr/Item?goodscode=2595261633&ver=638156349278809785,https://gdimg.gmarket.co.kr/2595261633/still/300?ver=2023032821,"25,900원"
87,2836093719,http://item.gmarket.co.kr/Item?goodscode=2836093719&ver=638156349278809785,https://gdimg.gmarket.co.kr/2836093719/still/300?ver=2023032821,"89,900원"
88,2848258128,http://item.gmarket.co.kr/Item?goodscode=2848258128&ver=638156349278809785,https://gdimg.gmarket.co.kr/2848258128/still/300?ver=2023032821,"31,880원"
89,2476944118,http://item.gmarket.co.kr/Item?goodscode=2476944118&ver=638156349278809785,https://gdimg.gmarket.co.kr/2476944118/still/300?ver=2023032821,"10,900원"
90,1574946973,http://item.gmarket.co.kr/Item?goodscode=1574946973&ver=638156349278809785,https://gdimg.gmarket.co.kr/1574946973/still/300?ver=2023032821,"24,900원"
91,1782687491,http://item.gmarket.co.kr/Item?goodscode=1782687491&ver=638156349278809785,https://gdimg.gmarket.co.kr/1782687491/still/300?ver=2023032821,"49,000원"
92,2841711032,http://item.gmarket.co.kr/Item?goodscode=2841711032&ver=638156349278809785,https://gdimg.gmarket.co.kr/2841711032/still/300?ver=2023032821,"129,000원"
93,2867239988,http://item.gmarket.co.kr/Item?goodscode=2867239988&ver=638156349278809785,https://gdimg.gmarket.co.kr/2867239988/still/300?ver=2023032821,"14,240원"
94,2005886978,http://item.gmarket.co.kr/Item?goodscode=2005886978&ver=638156349278809785,https://gdimg.gmarket.co.kr/2005886978/still/300?ver=2023032821,"46,900원"
95,1555546190,http://item.gmarket.co.kr/Item?goodscode=1555546190&ver=638156349278809785,https://gdimg.gmarket.co.kr/1555546190/still/300?ver=2023032821,"5,900원"
